hours,0,1,2,3,4
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,3.0,0.0,0.0,0.0,0.0
9,37.0,0.0,0.0,0.0,0.0
10,2.0,0.0,0.0,0.0,0.0
11,3.0,0.0,0.0,0.0,0.0
12,2.0,0.0,0.0,0.0,0.0
13,3.0,0.0,0.0,0.0,0.0
14,3.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0
16,2.0,0.0,0.0,0.0,0.0
17,8.0,0.0,0.0,0.0,0.0
18,6.0,0.0,0.0,0.0,0.0
19,4.0,0.0,0.0,0.0,0.0
