hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,427.0,261.0,0.0,0.0,0.0,0.0,0.0
9,0.0,895.0,897.0,0.0,0.0,0.0,0.0,0.0
10,0.0,180.0,308.0,0.0,0.0,0.0,0.0,0.0
11,0.0,261.0,219.0,0.0,0.0,0.0,0.0,0.0
12,0.0,245.0,270.0,0.0,0.0,0.0,0.0,0.0
13,0.0,329.0,327.0,0.0,0.0,0.0,0.0,0.0
14,0.0,227.0,255.0,0.0,0.0,0.0,0.0,0.0
15,0.0,268.0,269.0,0.0,0.0,0.0,0.0,0.0
16,0.0,299.0,177.0,0.0,0.0,0.0,0.0,0.0
17,0.0,397.0,411.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1239.0,875.0,0.0,0.0,0.0,0.0,0.0
19,0.0,658.0,998.0,0.0,0.0,0.0,0.0,0.0
20,0.0,269.0,349.0,0.0,0.0,0.0,0.0,0.0
21,0.0,91.0,169.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
