Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,4,17,0,2,1,2,1,1,0,7,0,2,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,606,770,133,290,227,334,227,262,315,432,1529,391,272,27,0,0,
walk,0,0,0,0,0,0,0,268,3454,1756,723,606,450,687,768,836,1182,4855,1475,712,58,1,1,
walk_transit,0,0,0,0,0,0,6,3361,11704,3245,1333,1582,1579,1754,2000,1066,2306,3760,1950,423,110,3,0,
