Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,
bus,0,0,0,0,0,9.744710215946077E7,7.594408244786825E9,1.0662470475351376E10,1.0830390312459211E10,1.0746430393905294E10,9.157038435684143E9,7.559483971020826E9,7.559483971020826E9,7.559483971020826E9,7.559483971020827E9,7.559483971020826E9,7.559483971020826E9,9.148875929241978E9,1.0746430393905293E10,1.0648983291745832E10,8.768370804963945E9,7.170816340300631E9,1.5544676844551606E9,0,0,0,0,0,
car,0,0,0,0,0,0,0,1.5849037587418446E7,2.2656587719575745E8,7499593.647086712,7753805.946590008,1.2601395907802453E7,1.67545439784512E7,1.2752469415676976E7,8783585.101407051,9869729.087677222,2.9330507148042537E7,3.545994090841079E7,1.6708673412619319E7,0,0,0,0,0,0,0,0,0,
rideHail,0,0,0,0,0,0,3027784.516721927,1.599008021869143E9,6.154424503511886E9,2.320695173941286E9,1.3951652568848066E9,1.6493038455637918E9,2.056469121921686E9,1.670699200989439E9,1.4591838138578362E9,1.250826367689031E9,3.278530416006467E9,6.018017323111691E9,1.0491362693382801E10,3.699011904556806E9,1.9283790732474709E9,3.499066406492706E7,0,0,0,0,0,0,
walk,0,0,0,0,0,0,317300.0649682451,7.275205716218745E8,1.885223061595931E10,4.249676108579936E10,1.8166869843348644E10,1.0916771436924913E10,7.88549895117205E9,1.207319529866788E10,1.2492599860598938E10,1.0167298210180061E10,1.3392002622086689E10,2.1803320898840576E10,5.025051300720709E10,1.5537366444890236E10,1.2055719581165573E10,1.2790213136420493E9,1.2347268726866312E7,0.0,0,0.0,0,0,
