modeChosen, alternativesAvailable, numberOfTimes
ride_hail, RIDE_HAIL:CAR:WALK, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 4
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 4
walk, WALK:CAR, 1
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 228
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 15
drive_transit, WALK:CAR:DRIVE_TRANSIT, 4
walk, , 144
walk, WALK, 17573
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 7
drive_transit, DRIVE_TRANSIT, 29
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 98
ride_hail, RIDE_HAIL:WALK:CAR, 30
walk, RIDE_HAIL:WALK, 11
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 32
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk_transit, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 2
ride_hail, RIDE_HAIL:WALK, 6
walk_transit, RIDE_HAIL:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 2
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 8
drive_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 349
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 23
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT, 11
ride_hail, RIDE_HAIL, 5630
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk, RIDE_HAIL:WALK:WALK_TRANSIT, 4
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 109
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 37
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 9
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 308
drive_transit, DRIVE_TRANSIT:DRIVE_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 56
walk, RIDE_HAIL:WALK:CAR, 32
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 28
walk_transit, WALK_TRANSIT, 35024
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 43
