timeBin,TAZ,outboundParkingOverheadTime,inboundParkingOverheadTime,inboundParkingOverheadCost
7,emergency,15.0,1313.0,50.0
8,emergency,3.2142857142857144,1473.4736842105262,50.0
9,emergency,0.0,1996.0,50.0
10,emergency,0.0,388.0,50.0
11,emergency,0.0,1941.0,50.0
12,emergency,0.0,1665.0,50.0
13,emergency,0.0,1763.0,50.0
14,emergency,0.0,2475.0,50.0
15,emergency,0.0,339.0,50.0
16,emergency,0.0,1437.3333333333333,50.0
17,emergency,0.0,1517.0,50.0
18,emergency,0.0,1165.0,50.0
