hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,1.6666666666666665,606.0,165.0,681.5
9,7.249999999999999,767.0833333333334,1861.8333333333333,2726.416666666667
10,0,133.0,894.75,975.5000000000001
11,1.0,290.0,578.5,540.0
12,0.5,227.0,450.0,618.0
13,1.0,334.0,312.0,565.0
14,0.5,226.0,487.0,612.0
15,0.3333333333333333,262.0,540.5,668.0
16,0,315.0,729.8333333333334,473.8333333333333
17,3.0,432.0,1048.5,650.5
18,0,1529.0,4477.499999999999,1336.5
19,0.8333333333333333,390.0,1066.3333333333335,688.3333333333333
20,0,259.5,663.5,271.5
21,0,27.0,45.5,45.5
22,0,0,1.0,3.0
23,0,0,1.0,0
