hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1255
8,11038
9,4009
10,1012
11,1150
12,1074
13,1393
14,1542
15,716
16,1444
17,2651
18,2246
19,236
20,102
21,0
22,0
