WaitingTime(sec),Hour
0,1
0,2
0,3
0,4
0,5
0,6
916.0,7
169887.0,8
474038.0,9
49518.0,10
104708.0,11
49369.0,12
72899.0,13
40877.0,14
44405.0,15
64127.0,16
66456.0,17
587260.0,18
176543.0,19
62750.0,20
3682.0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
