timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
18,379.0,355.5,355.5,4,0,0
9,488.0,80.0,80.0,5,0,0
10,379.0,299.0,299.0,2,0,0
12,379.0,870.0,870.0,1,0,0
14,379.0,194.0,194.0,1,0,0
10,477.0,234.0,234.0,7,0,0
17,322.0,127.33333333333333,110.0,3,0,0
17,368.0,214.0,196.0,3,0,0
18,368.0,104.0,104.0,2,0,0
15,322.0,114.0,114.0,3,0,0
14,368.0,35.0,35.0,1,0,0
15,368.0,104.0,104.0,2,0,0
13,420.0,256.0,256.0,5,0,0
7,379.0,340.0,340.0,2,0,0
8,379.0,291.6666666666667,160.0,3,0,0
16,311.0,187.0,187.0,2,0,0
17,311.0,271.0,272.0,4,0,0
12,311.0,240.8,204.0,5,0,0
11,311.0,164.5,165.0,4,0,0
14,311.0,187.0,187.0,1,0,0
8,420.0,655.0,655.0,1,0,0
10,420.0,91.0,91.0,1,0,0
19,311.0,140.0,140.0,2,0,0
7,420.0,135.0,135.0,1,0,0
7,368.0,104.0,104.0,1,0,0
8,368.0,102.5,102.5,2,0,0
10,248.0,638.0,638.0,2,0,0
16,346.0,135.63636363636363,149.0,11,0,0
16,300.0,181.78947368421052,184.0,19,0,0
15,346.0,317.0,317.0,1,0,0
18,300.0,184.0,184.0,4,0,0
17,300.0,175.6,184.0,10,0,0
12,346.0,100.0,100.0,1,0,0
12,300.0,345.2307692307692,304.0,13,0,0
11,346.0,179.0,179.0,1,0,0
11,300.0,399.2,375.0,5,0,0
14,300.0,280.14285714285717,184.0,14,0,0
13,300.0,184.0,184.0,1,0,0
20,346.0,271.0,271.0,2,0,0
19,346.0,100.0,100.0,1,0,0
18,346.0,100.0,100.0,6,0,0
17,346.0,189.1,100.0,10,0,0
8,311.0,200.0,200.0,1,0,0
10,311.0,140.0,140.0,4,0,0
15,335.0,51.333333333333336,51.0,3,0,0
16,335.0,60.421052631578945,53.0,19,0,0
13,335.0,51.0,51.0,4,0,0
14,335.0,58.25,60.0,4,0,0
11,335.0,70.0,60.0,9,0,0
9,335.0,165.33333333333334,200.0,3,0,0
19,335.0,81.2,64.0,20,0,0
17,335.0,111.0,64.0,24,0,0
18,335.0,64.0,64.0,2,0,0
14,479.0,272.0,272.0,1,0,0
15,479.0,789.0,789.0,7,0,0
12,479.0,1372.7142857142858,1412.0,7,0,0
10,479.0,675.3529411764706,154.0,17,0,0
11,479.0,772.75,763.0,12,0,0
8,479.0,942.75,873.0,40,0,0
9,479.0,789.6428571428571,562.0,14,0,0
8,300.0,256.8,168.0,5,0,0
7,300.0,458.8333333333333,304.0,6,0,0
9,300.0,304.0,304.0,1,0,0
18,479.0,220.85714285714286,232.0,14,0,0
16,479.0,546.0,433.0,13,0,0
17,479.0,459.6363636363636,232.0,11,0,0
15,324.0,95.5,95.5,4,0,0
13,324.0,274.25,276.0,12,0,0
11,324.0,85.0,85.0,1,0,0
12,324.0,47.0,47.0,1,0,0
6,479.0,276.0,276.0,2,0,0
7,479.0,500.6666666666667,516.0,3,0,0
8,433.0,204.0,204.0,1,0,0
17,324.0,222.0,215.0,5,0,0
18,324.0,60.333333333333336,48.0,3,0,0
16,422.0,202.0,202.0,1,0,0
17,422.0,428.0,234.0,6,0,0
10,422.0,229.0,229.0,2,0,0
13,422.0,202.0,202.0,3,0,0
7,335.0,200.0,200.0,1,0,0
8,335.0,98.0,64.0,4,0,0
18,422.0,525.0,525.0,3,0,0
12,359.0,242.0,242.0,2,0,0
11,359.0,74.66666666666667,88.0,3,0,0
10,359.0,48.0,48.0,41,0,0
8,359.0,190.33333333333334,189.0,3,0,0
7,422.0,312.0,312.0,2,0,0
9,422.0,202.0,202.0,1,0,0
19,359.0,88.0,88.0,4,0,0
17,359.0,150.66666666666666,131.0,6,0,0
16,359.0,152.0,152.0,1,0,0
7,324.0,108.0,108.0,1,0,0
8,324.0,109.2,108.0,5,0,0
14,302.0,113.66666666666667,107.0,6,0,0
14,348.0,158.0,158.0,4,0,0
16,302.0,117.8,95.0,5,0,0
10,348.0,720.0,720.0,45,0,0
9,302.0,56.0,56.0,7,0,0
8,348.0,74.0,74.0,3,0,0
12,302.0,68.0,68.0,12,0,0
7,348.0,179.0,179.0,1,0,0
11,302.0,56.0,56.0,1,0,0
19,348.0,73.0,73.0,2,0,0
18,302.0,83.71428571428571,68.0,7,0,0
18,348.0,180.0,180.0,2,0,0
17,348.0,118.6,115.0,5,0,0
17,302.0,155.66666666666666,80.0,3,0,0
16,348.0,62.0,62.0,8,0,0
19,302.0,147.0,147.0,2,0,0
13,446.0,216.0,268.0,3,0,0
12,446.0,313.3333333333333,414.0,3,0,0
15,446.0,474.0,474.0,7,0,0
8,446.0,446.8,518.0,5,0,0
7,231.0,805.5714285714286,1173.0,7,0,0
8,231.0,1684.4,1881.0,10,0,0
9,231.0,496.6666666666667,658.0,3,0,0
11,231.0,174.0,174.0,3,0,0
12,231.0,174.0,174.0,3,0,0
16,375.0,257.0,257.0,1,0,0
8,340.0,304.0,304.0,1,0,0
7,340.0,348.0,348.0,2,0,0
19,409.0,135.2,132.0,5,0,0
18,409.0,146.2,124.0,5,0,0
17,409.0,245.1346153846154,161.5,52,0,0
14,364.0,84.0,84.0,1,0,0
17,364.0,53.333333333333336,48.0,3,0,0
19,364.0,82.0,82.0,1,0,0
20,462.0,118.0,118.0,4,0,0
7,375.0,239.5,239.5,2,0,0
18,462.0,449.4597701149425,214.0,87,0,0
8,375.0,285.75,240.5,4,0,0
19,462.0,368.7083333333333,298.0,24,0,0
8,409.0,308.6666666666667,315.0,9,0,0
16,462.0,70.72222222222223,49.0,18,0,0
7,409.0,215.5,192.5,8,0,0
17,462.0,261.5406504065041,90.0,246,0,0
11,375.0,234.0,234.0,2,0,0
14,462.0,255.0,255.0,2,0,0
15,462.0,80.0,79.0,27,0,0
12,409.0,356.5,331.0,6,0,0
14,231.0,148.0,148.0,1,0,0
11,409.0,152.11111111111111,156.0,9,0,0
10,409.0,187.8,156.0,5,0,0
9,409.0,152.5,153.0,4,0,0
17,231.0,174.0,174.0,6,0,0
16,409.0,104.5,96.0,4,0,0
