hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,161494.761
7,1,1125518.9589999968
8,0,1055952.2970000012
8,1,3561198.0669999938
9,0,182767.711
9,1,1503410.524999999
10,0,79285.44200000016
10,1,893089.4699999988
11,0,99889.74699999993
11,1,970138.2769999995
12,0,124491.55199999988
12,1,1336725.516
13,0,79976.93399999982
13,1,948687.5069999985
14,0,80137.06399999987
14,1,943960.5779999995
15,0,94878.1120000001
15,1,707741.6440000003
16,0,99428.6990000001
16,1,1903283.2759999987
17,0,370329.58200000296
17,1,3382730.5689999918
18,0,722511.5769999976
18,1,5444204.03800002
19,0,54587.17299999988
19,1,2088234.6609999961
20,0,33201.530999999995
20,1,1122215.163999998
21,0,0.0
21,1,28959.22400000001
