hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1371.0,347.0,203.0,1.0,0.0
9,239.0,453.0,1215.0,41.0,0.0
10,486.0,514.0,913.0,22.0,0.0
11,459.0,562.0,632.0,11.0,0.0
12,232.0,459.0,709.0,19.0,0.0
13,233.0,449.0,722.0,15.0,0.0
14,284.0,427.0,692.0,16.0,0.0
15,261.0,436.0,692.0,30.0,0.0
16,286.0,546.0,567.0,20.0,0.0
17,258.0,447.0,703.0,11.0,0.0
18,217.0,477.0,969.0,27.0,0.0
19,326.0,572.0,1016.0,21.0,0.0
20,807.0,710.0,401.0,0.0,0.0
21,981.0,426.0,214.0,0.0,0.0
22,1256.0,81.0,39.0,0.0,0.0
23,304.0,0.0,0.0,0.0,0.0
