linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,14
100.00000000000125,100,30
100.0000000000013,100,12
63.20014094814206,63,1
100.00000000000131,100,1
100.00000000000134,100,6
100.00000000000115,100,13
100.00000000000114,100,24
100.00000000000118,100,7
100.0000000000012,100,43
100.00000000000122,100,7
9.457079623387953,9,1
100.00000000000104,100,10
100.00000000000102,100,3
100.00000000000107,100,14
11.413555854205812,11,1
100.0000000000011,100,4
44.78911289782916,45,1
100.00000000000111,100,22
0.17454904714168692,0,1
100.00000000000091,100,24
100.00000000000095,100,5
100.00000000000094,100,5
100.00000000000098,100,1
100.000000000001,100,5
100.0000000000017,100,30
100.00000000000175,100,4
100.00000000000173,100,5
100.00000000000178,100,9
100.0000000000018,100,10
100.00000000000159,100,1
0.8709647263161702,1,1
100.00000000000162,100,7
1.183699924944145,1,1
100.00000000000166,100,9
100.00000000000165,100,7
50.49745255381583,50,1
100.00000000000169,100,2
100.00000000000149,100,3
98.97516209393604,99,1
98.14862722514285,98,1
100.0000000000015,100,1
100.00000000000155,100,33
34.23850285575466,34,1
100.00000000000153,100,5
100.00000000000158,100,10
99.10336382386502,99,1
24.32051557014069,24,1
100.00000000000138,100,6
91.38282852792996,91,1
100.00000000000139,100,7
100.00000000000142,100,3
100.00000000000146,100,8
100.00000000000145,100,8
100.00000000000036,100,9
100.00000000000038,100,12
8.488883733968654,8,1
100.0000000000004,100,15
84.00663607809756,84,1
100.00000000000044,100,8
100.00000000000043,100,1
100.00000000000024,100,1
100.00000000000023,100,29
76.77780746089842,77,1
100.00000000000027,100,6
1.532166127841109,2,1
100.00000000000028,100,1
100.00000000000033,100,1
100.00000000000031,100,14
100.00000000000013,100,8
100.00000000000011,100,9
100.00000000000016,100,7
1.6608241293142447,2,1
100.00000000000017,100,26
60.23797232744798,60,1
100.0000000000002,100,17
91.22816792131646,91,1
1.9682625930133226,2,1
100.0,100,151428
100.00000000000004,100,3
100.00000000000003,100,7958
100.00000000000007,100,6
60.71450801019995,61,1
100.0000000000008,100,15
100.00000000000084,100,11
100.00000000000082,100,7
100.00000000000087,100,5
5.6900866277108975,6,1
100.00000000000088,100,12
100.00000000000068,100,11
100.00000000000071,100,3
100.00000000000075,100,14
100.00000000000074,100,5
100.00000000000078,100,7
1.1591654604181156,1,1
81.28272165526394,81,1
100.00000000000058,100,5
7.41625622797273,7,1
100.0000000000006,100,11
23.41631491699774,23,1
100.00000000000064,100,28
100.00000000000063,100,5
100.00000000000067,100,4
100.00000000000047,100,3
100.00000000000048,100,33
100.00000000000051,100,2
6.591932620979497,7,1
100.00000000000055,100,16
10.161487721338842,10,1
100.00000000000054,100,6
100.00000000000308,100,1
100.00000000000307,100,16
100.00000000000311,100,1
0.8060172207248665,1,1
