hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,459.0,259.0,0.0,0.0,0.0,0.0,0.0
9,0.0,906.0,905.0,0.0,0.0,0.0,0.0,0.0
10,0.0,167.0,341.0,0.0,0.0,0.0,0.0,0.0
11,0.0,267.0,266.0,0.0,0.0,0.0,0.0,0.0
12,0.0,250.0,218.0,0.0,0.0,0.0,0.0,0.0
13,0.0,332.0,358.0,0.0,0.0,0.0,0.0,0.0
14,0.0,232.0,240.0,0.0,0.0,0.0,0.0,0.0
15,0.0,275.0,275.0,0.0,0.0,0.0,0.0,0.0
16,0.0,332.0,238.0,0.0,0.0,0.0,0.0,0.0
17,0.0,411.0,380.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1410.0,1009.0,0.0,0.0,0.0,0.0,0.0
19,0.0,599.0,1013.0,0.0,0.0,0.0,0.0,0.0
20,0.0,267.0,345.0,0.0,0.0,0.0,0.0,0.0
21,0.0,92.0,152.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
