WaitingTime(sec),Hour
0,1
0,2
0,3
0,4
0,5
0,6
916.0,7
145089.0,8
443641.0,9
35287.0,10
69553.0,11
44454.0,12
80704.0,13
42133.0,14
49772.0,15
57363.0,16
73456.0,17
454739.0,18
136908.0,19
56773.0,20
5169.0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
