Revenue,Hour
0.0,0
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
61.3,6
5502.81,7
11173.7,8
1610.93,9
2856.96,10
2472.3,11
3859.91,12
2255.49,13
2897.78,14
4362.97,15
5129.74,16
18970.75,17
7332.3,18
3063.58,19
1370.93,20
0.0,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30

