linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,15
100.00000000000125,100,37
100.0000000000013,100,13
100.00000000000131,100,1
100.00000000000135,100,2
100.00000000000134,100,4
100.00000000000115,100,11
100.00000000000114,100,34
9.568507390273979,10,1
100.00000000000118,100,8
100.0000000000012,100,46
25.57063399997786,26,1
100.00000000000122,100,11
100.00000000000104,100,5
100.00000000000102,100,2
100.00000000000107,100,11
98.44093379459107,98,1
100.0000000000011,100,3
95.42202728197286,95,1
48.674132971287996,49,1
100.00000000000111,100,12
95.5141260171673,96,1
100.00000000000091,100,16
100.00000000000095,100,10
100.00000000000094,100,3
100.00000000000098,100,1
100.000000000001,100,4
100.0000000000017,100,25
100.00000000000175,100,2
100.00000000000173,100,2
100.00000000000178,100,5
73.75238289018581,74,1
100.0000000000018,100,9
100.00000000000162,100,4
100.00000000000166,100,8
100.00000000000165,100,12
100.00000000000169,100,1
100.00000000000149,100,2
100.0000000000015,100,1
100.00000000000155,100,40
100.00000000000153,100,8
5.237186209699721,5,1
100.00000000000158,100,2
100.00000000000138,100,4
100.00000000000139,100,8
100.00000000000142,100,4
100.00000000000146,100,8
100.00000000000145,100,10
100.00000000000036,100,8
100.00000000000038,100,10
100.0000000000004,100,11
83.02516849547781,83,1
1.762054166576225,2,1
100.00000000000044,100,7
100.00000000000043,100,2
100.00000000000024,100,2
100.00000000000023,100,19
100.00000000000027,100,9
7.343030868055574,7,1
18.176751362187638,18,1
100.00000000000028,100,1
70.61545151254451,71,1
100.00000000000031,100,11
100.00000000000013,100,5
100.00000000000011,100,2
100.00000000000016,100,7
100.00000000000017,100,14
100.0000000000002,100,26
4.7142656458852805,5,1
100.0,100,152458
60.409431522284585,60,1
100.00000000000003,100,7978
100.00000000000007,100,11
9.734125029431995,10,1
79.55149859214549,80,1
52.69673619390226,53,1
3.6399586648213855,4,1
100.00000000000009,100,1
100.0000000000008,100,16
100.00000000000084,100,13
100.00000000000082,100,6
100.00000000000087,100,5
100.00000000000088,100,8
100.00000000000068,100,11
1.5313656250856533,2,1
100.00000000000071,100,1
100.00000000000075,100,20
100.00000000000074,100,5
100.00000000000078,100,7
100.00000000000058,100,4
100.0000000000006,100,7
100.00000000000064,100,25
100.00000000000063,100,7
100.00000000000067,100,7
100.00000000000047,100,4
100.00000000000048,100,38
5.315536361279942,5,1
100.00000000000051,100,8
100.00000000000055,100,10
100.00000000000054,100,6
6.517806139634427,7,1
