Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.00000000000003
7,99.99999999999993
8,99.14408240870983
9,99.08726160800316
10,99.50207434108495
11,99.77425795751489
12,99.76828515252743
13,99.80180763297949
14,99.84885312002764
15,99.78412935070001
16,99.51661028467865
17,99.3144472025294
18,98.07559703350383
19,98.36149799731967
20,98.58786540917541
21,99.03753957949009
22,99.2099873857224
23,99.2357644517967
24,99.55173103092146
25,99.60178744916176
26,99.73117057725744
27,99.73800546756252
28,99.78104851767982
29,99.79918128379768
30,100.0
