hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1249
8,10990
9,4035
10,984
11,1178
12,1094
13,1370
14,1522
15,711
16,1376
17,2640
18,2253
19,236
20,103
21,0
22,0
