Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,
bus,0,0,0,0,0,9.744710215946077E7,7.594408244786824E9,1.0662470475351374E10,1.083039031245921E10,1.0746430393905293E10,9.157038435684145E9,7.559483971020826E9,7.559483971020826E9,7.559483971020826E9,7.559483971020827E9,7.559483971020826E9,7.559483971020825E9,9.148875929241978E9,1.0746430393905294E10,1.0648983291745834E10,8.768370804963943E9,7.1708163403006315E9,1.5544676844551606E9,0,0,0,0,0,
car,0,0,0,0,0,0,0,2.0997187517122164E7,2.1241454403106582E8,8472415.540200496,9547055.79769382,6797364.751356221,5458578.108356302,1.2959786886281848E7,6725305.561627909,1.3778911009065274E7,3.7742532431669615E7,1.3865638607632285E7,3.1954651842894383E7,0,0,0,0,0,0,0,0,0,
rideHail,0,0,0,0,0,0,3027784.516721927,1.5485438625389886E9,5.816314198277379E9,2.6895370497728662E9,1.5353862067551894E9,1.26808053593976E9,2.154349954414909E9,1.3190566656058114E9,1.396828298406516E9,1.7864731624965286E9,2.7071776811137404E9,7.601039236005953E9,8.574024514556441E9,2.985007943639964E9,1.3336609966553903E9,4.8886589083485745E7,0,0,0,0,0,0,
walk,0,0,0,0,0,0,317300.0649682451,7.271584594043052E8,1.879020777464971E10,4.218993928127963E10,1.830160174253438E10,1.0875564770457905E10,7.84036286384641E9,1.2119019942375776E10,1.2219974033734678E10,1.0150732929853952E10,1.2905576245182608E10,2.1792926271063446E10,4.964955401561561E10,1.4643079855162275E10,1.177820080956003E10,1.0934495700829616E9,1.905616236951085E7,0.0,0,0.0,0,0,
