Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,4,17,0,2,0,2,1,1,0,7,1,2,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,621,783,134,289,236,337,234,269,351,442,1587,417,295,30,0,0,
walk,0,0,0,0,0,0,0,268,3428,1760,729,598,449,681,755,804,1165,4777,1455,694,51,1,1,
walk_transit,0,0,0,0,0,0,6,3340,11669,3266,1302,1610,1596,1731,1984,1057,2247,3767,1952,415,116,3,0,
