hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1369.0,353.0,199.0,1.0,0.0
9,247.0,460.0,1200.0,41.0,0.0
10,486.0,525.0,903.0,21.0,0.0
11,454.0,570.0,629.0,11.0,0.0
12,243.0,454.0,699.0,23.0,0.0
13,208.0,468.0,731.0,12.0,0.0
14,286.0,450.0,667.0,16.0,0.0
15,250.0,455.0,684.0,30.0,0.0
16,301.0,524.0,574.0,20.0,0.0
17,247.0,482.0,679.0,11.0,0.0
18,203.0,465.0,997.0,25.0,0.0
19,331.0,504.0,1079.0,21.0,0.0
20,799.0,704.0,415.0,0.0,0.0
21,971.0,447.0,203.0,0.0,0.0
22,1249.0,127.0,0.0,0.0,0.0
23,299.0,5.0,0.0,0.0,0.0
