hours,0,1,2,3,4
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,5.0,0.0,0.0,0.0,0.0
9,35.0,0.0,0.0,0.0,0.0
10,2.0,0.0,0.0,0.0,0.0
11,3.0,0.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.0
13,2.0,0.0,0.0,0.0,0.0
14,3.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0
16,2.0,0.0,0.0,0.0,0.0
17,10.0,0.0,0.0,0.0,0.0
18,4.0,0.0,0.0,0.0,0.0
19,6.0,0.0,0.0,0.0,0.0
