hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,2.1666666666666665,621.0,161.5,682.0
9,6.666666666666666,779.3333333333334,1842.1666666666667,2719.5833333333335
10,0,134.0,895.3333333333334,983.2500000000001
11,1.0,289.0,588.0,530.5
12,0,236.0,443.0,604.0
13,0.8333333333333333,337.0,307.0,576.5
14,0.5,234.0,481.0,613.5
15,0.5,269.0,529.3333333333334,665.3333333333333
16,0,351.0,699.0,481.0
17,2.8333333333333335,442.0,1041.5,652.0
18,1.0,1587.0,4408.333333333332,1326.3333333333335
19,0.8333333333333333,417.0,1047.0,681.8333333333334
20,0,284.5,642.3333333333333,271.5
21,0,30.0,39.5,47.5
22,0,0,1.0,3.0
23,0,0,1.0,0
