hour,numPassengers,vkt
6,0,1631.1439999999998
6,1,0.0
7,0,178054.66999999955
7,1,1077464.454999997
8,0,834903.387
8,1,3493803.1620000163
9,0,139018.53999999992
9,1,1763997.0030000007
10,0,82547.41499999995
10,1,973241.205000001
11,0,87031.97500000002
11,1,775533.7069999998
12,0,112588.8759999999
12,1,1515381.2520000006
13,0,71332.5639999999
13,1,801851.7869999986
14,0,81706.62099999991
14,1,984195.5139999983
15,0,107062.03600000025
15,1,1120202.9860000007
16,0,135000.61999999997
16,1,1596145.8649999998
17,0,456187.3110000027
17,1,4305599.836999985
18,0,267621.712000001
18,1,5187355.0759999985
19,0,59091.49999999985
19,1,1712567.9130000025
20,0,33441.199999999975
20,1,849521.9739999989
21,0,0.0
21,1,28728.47600000001
