hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1252
8,10968
9,4004
10,991
11,1145
12,1090
13,1378
14,1527
15,705
16,1377
17,2669
18,2339
19,234
20,105
21,0
22,0
