timeBin,TAZ,outboundParkingOverheadTime,inboundParkingOverheadTime,inboundParkingOverheadCost
7,emergency,15.0,2223.0,50.0
8,emergency,2.8125,1176.25,50.0
9,emergency,0.0,723.0,50.0
10,emergency,0.0,1072.5,50.0
11,emergency,0.0,0.0,0.0
12,emergency,0.0,1360.5,50.0
13,emergency,0.0,1499.0,50.0
14,emergency,0.0,1513.0,50.0
15,emergency,0.0,508.0,50.0
16,emergency,0.0,1208.4,50.0
17,emergency,0.0,672.0,50.0
18,emergency,0.0,1953.2,50.0
