modeChosen, alternativesAvailable, numberOfTimes
drive_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 1
ride_hail, RIDE_HAIL:CAR:WALK, 1
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 9
walk, WALK:CAR, 10
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 227
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 13
drive_transit, WALK:CAR:DRIVE_TRANSIT, 4
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk, , 149
walk, WALK, 17322
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 3
drive_transit, DRIVE_TRANSIT, 31
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 106
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:CAR, 25
walk, RIDE_HAIL:WALK, 6
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 26
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk_transit, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 1
ride_hail, RIDE_HAIL:WALK, 9
walk_transit, RIDE_HAIL:CAR:WALK_TRANSIT:WALK, 1
walk_transit, RIDE_HAIL:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 4
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 7
drive_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 2
drive_transit, WALK:DRIVE_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 351
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 31
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT, 14
walk_transit, WALK:CAR:WALK_TRANSIT, 2
ride_hail, RIDE_HAIL, 5880
walk, RIDE_HAIL:WALK:WALK_TRANSIT, 1
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:CAR:WALK_TRANSIT:DRIVE_TRANSIT:WALK, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 94
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 48
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 10
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 315
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 58
walk, RIDE_HAIL:WALK:CAR, 26
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 25
walk_transit, WALK_TRANSIT, 34919
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 46
