linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,15
1.0969173025984758,1,1
100.00000000000125,100,34
100.0000000000013,100,11
94.22000315298776,94,1
100.00000000000131,100,1
100.00000000000135,100,2
100.00000000000134,100,8
100.00000000000115,100,11
100.00000000000114,100,20
100.00000000000118,100,8
2.062381817477902,2,1
26.7129896409856,27,1
100.0000000000012,100,56
100.00000000000122,100,6
100.00000000000104,100,5
100.00000000000102,100,5
100.00000000000107,100,4
0.6622996843022404,1,1
100.0000000000011,100,2
100.00000000000111,100,23
100.00000000000091,100,24
100.00000000000095,100,5
0.49731573936626944,0,1
0.20419432051108247,0,1
100.00000000000094,100,4
100.00000000000098,100,2
0.5911872087898203,1,1
100.000000000001,100,7
0.28851265760207,0,1
100.0000000000017,100,21
100.00000000000175,100,3
100.00000000000173,100,4
100.00000000000178,100,11
0.05001871166721744,0,1
100.0000000000018,100,8
100.00000000000159,100,1
100.00000000000162,100,4
94.05382900503257,94,1
100.00000000000166,100,8
100.00000000000165,100,7
100.00000000000169,100,3
100.00000000000149,100,3
98.14862722514285,98,1
100.0000000000015,100,1
100.00000000000155,100,40
0.5971937400365798,1,1
100.00000000000153,100,8
100.00000000000158,100,4
100.00000000000138,100,4
100.0000000001178,100,1
100.00000000000139,100,6
96.98936402891815,97,1
100.00000000000142,100,8
100.00000000000146,100,3
100.00000000000145,100,6
100.00000000000036,100,5
100.00000000000038,100,13
100.0000000000004,100,15
100.00000000000044,100,5
8.947977250006755,9,1
2.217578531131694,2,1
3.7656645858807547,4,1
93.47740700238688,93,1
100.00000000000043,100,2
100.00000000000024,100,3
100.00000000000023,100,25
100.00000000000027,100,9
28.372546546316503,28,1
97.88019039372125,98,1
100.00000000000028,100,2
100.00000000000033,100,1
100.00000000000031,100,14
100.00000000000013,100,7
100.00000000000011,100,10
100.00000000000016,100,10
100.00000000000017,100,13
0.3650044601901268,0,1
100.0000000000002,100,21
12.401555834521826,12,1
100.0,100,152392
100.00000000000004,100,1
100.00000000000003,100,8051
100.00000000000007,100,9
0.3500223845137618,0,1
100.00000000000009,100,3
100.0000000000008,100,17
1.4620537844908381,1,1
100.00000000000084,100,9
6.351524174130745,6,1
100.00000000000082,100,5
100.00000000000087,100,1
100.00000000000088,100,6
96.98468273362072,97,1
100.00000000000068,100,11
0.3485535141343097,0,1
100.00000000000071,100,2
100.00000000000075,100,14
100.00000000000074,100,5
100.00000000000078,100,6
1.1264145345633905,1,1
89.80993817265342,90,1
100.00000000000058,100,4
3.2570544458360153,3,1
100.0000000000006,100,12
100.00000000000064,100,23
100.00000000000063,100,11
100.00000000000067,100,6
100.00000000000047,100,3
100.00000000000048,100,29
100.00000000000051,100,5
100.00000000000055,100,11
100.00000000000054,100,5
100.00000000000307,100,4
100.00000000000311,100,1
100.00000000000313,100,3
100.00000000000317,100,9
100.00000000000315,100,2
100.00000000000297,100,1
100.00000000000296,100,15
0.5529753175016361,1,1
100.000000000003,100,6
85.85855228356166,86,1
0.48364049728537956,0,1
100.00000000000304,100,3
100.00000000000284,100,4
100.00000000000288,100,2
100.00000000000287,100,10
100.00000000000291,100,8
100.00000000000293,100,8
100.00000000000273,100,5
3.6745304594401627,4,1
100.00000000000277,100,4
100.00000000000276,100,5
100.0000000000028,100,7
87.42650793316872,87,1
40.24111632006006,40,1
100.00000000000281,100,7
0.35826599826328925,0,1
100.00000000000352,100,3
100.00000000000355,100,6
25.682698503684254,26,1
84.45060286956611,84,1
100.0000000000036,100,31
100.00000000000358,100,4
100.00000000000362,100,11
100.00000000000342,100,3
100.00000000000344,100,1
100.00000000000348,100,17
100.00000000000347,100,2
100.00000000000351,100,8
100.00000000000331,100,1
100.00000000000333,100,5
100.00000000000335,100,1
100.0000000000034,100,31
100.00000000000338,100,11
100.0000000000032,100,2
100.00000000000323,100,2
100.00000000000324,100,38
100.00000000000328,100,2
100.00000000000327,100,23
13.980199555328957,14,1
100.00000000000217,100,14
100.00000000000216,100,7
0.20433660580641147,0,1
