Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,99.99999999999999
7,99.99999999999997
8,99.28947529599074
9,98.87130911482782
10,99.3191968098175
11,99.41596197386434
12,99.4672806888526
13,99.38102212295578
14,99.49045709305551
15,99.54306169038185
16,99.3821976121782
17,99.27174216817599
18,97.66432777736027
19,98.19138439590705
20,98.57048864072313
21,98.71759967443937
22,98.84675519165093
23,98.91282329367172
24,98.92592845374601
25,98.97020288623206
26,99.00534441251793
27,99.14557468674087
28,99.21336672307878
29,99.37139959180736
30,100.0
