Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,4,18,0,2,1,2,1,1,0,7,0,5,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,627,811,138,294,235,341,235,271,345,448,1606,422,280,25,4,0,
walk,0,0,0,0,0,0,0,266,3394,1751,731,598,447,682,751,803,1155,4761,1480,706,52,1,1,
walk_transit,0,0,0,0,0,0,6,3339,11652,3240,1301,1578,1592,1734,1992,1057,2252,3795,2006,416,117,3,0,
