hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,1.6666666666666665,627.0,160.0,684.5
9,7.416666666666666,808.75,1811.1666666666667,2721.416666666667
10,0,137.0,891.9166666666667,974.6666666666667
11,1.0,294.0,588.5,524.5
12,0.3333333333333333,235.0,443.5,604.5
13,0.8333333333333333,341.0,305.33333333333337,572.3333333333333
14,0.5,235.0,482.5,608.5
15,0.5,271.0,524.8333333333334,674.8333333333333
16,0,345.0,699.5,480.0
17,2.8333333333333335,448.0,1030.0,654.5
18,0,1601.5,4385.333333333333,1320.3333333333335
19,1.8333333333333333,417.33333333333326,1053.3333333333335,698.8333333333334
20,0,273.5,659.3333333333333,267.83333333333337
21,0,25.0,41.0,44.0
22,0,4.0,1.0,3.0
23,0,0,1.0,0
