hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,441.0,259.0,0.0,0.0,0.0,0.0,0.0
9,0.0,938.0,932.0,0.0,0.0,0.0,0.0,0.0
10,0.0,192.0,344.0,0.0,0.0,0.0,0.0,0.0
11,0.0,274.0,228.0,0.0,0.0,0.0,0.0,0.0
12,0.0,246.0,260.0,0.0,0.0,0.0,0.0,0.0
13,0.0,337.0,369.0,0.0,0.0,0.0,0.0,0.0
14,0.0,233.0,223.0,0.0,0.0,0.0,0.0,0.0
15,0.0,270.0,286.0,0.0,0.0,0.0,0.0,0.0
16,0.0,275.0,203.0,0.0,0.0,0.0,0.0,0.0
17,0.0,431.0,395.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1334.0,919.0,0.0,0.0,0.0,0.0,0.0
19,0.0,730.0,1011.0,0.0,0.0,0.0,0.0,0.0
20,0.0,243.0,407.0,0.0,0.0,0.0,0.0,0.0
21,0.0,100.0,185.0,0.0,0.0,0.0,0.0,0.0
22,0.0,4.0,27.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
