hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1374.0,344.0,203.0,1.0,0.0
9,239.0,443.0,1227.0,39.0,0.0
10,501.0,525.0,886.0,23.0,0.0
11,463.0,556.0,634.0,11.0,0.0
12,233.0,456.0,707.0,23.0,0.0
13,216.0,470.0,721.0,12.0,0.0
14,296.0,436.0,666.0,21.0,0.0
15,256.0,431.0,702.0,30.0,0.0
16,270.0,541.0,588.0,20.0,0.0
17,249.0,456.0,703.0,11.0,0.0
18,201.0,471.0,995.0,23.0,0.0
19,336.0,519.0,1059.0,21.0,0.0
20,790.0,737.0,391.0,0.0,0.0
21,989.0,406.0,226.0,0.0,0.0
22,1253.0,103.0,20.0,0.0,0.0
23,299.0,5.0,0.0,0.0,0.0
