Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,
drive_transit,0,0,0,0,0,0,0,4,20,0,2,1,2,1,0,0,7,0,2,0,0,0,0,
ride_hail,0,0,0,0,0,0,4,644,851,144,292,246,342,242,280,367,470,1677,450,307,29,4,0,
walk,0,0,0,0,0,0,0,260,3355,1750,718,597,445,670,740,780,1146,4693,1438,693,47,1,1,
walk_transit,0,0,0,0,0,0,6,3321,11623,3249,1319,1559,1557,1735,1978,1056,2252,3751,1979,407,102,3,0,
