Modes,Bin_0,Bin_1,Bin_2,Bin_3,Bin_4,Bin_5,Bin_6,Bin_7,Bin_8,Bin_9,Bin_10,Bin_11,Bin_12,Bin_13,Bin_14,Bin_15,Bin_16,Bin_17,Bin_18,Bin_19,Bin_20,Bin_21,Bin_22,Bin_23,Bin_24,Bin_25,Bin_26,Bin_27,
bus,0,0,0,0,0,9.744710215946077E7,7.594408244786823E9,1.0662470475351372E10,1.0830390312459211E10,1.0746430393905293E10,9.157038435684145E9,7.559483971020826E9,7.559483971020828E9,7.559483971020826E9,7.559483971020826E9,7.559483971020827E9,7.559483971020825E9,9.148875929241978E9,1.074643039390529E10,1.064898329174583E10,8.768370804963945E9,7.1708163403006315E9,1.5544676844551606E9,0,0,0,0,0,
car,0,0,0,0,0,0,0,1.750944486434611E7,3.043151044661552E8,9148796.695809718,1.5424821284289572E7,2374672.625887444,8241779.766575079,9708053.28878456,9208949.668118805,0,4.632095042492059E7,1.802980575320764E7,1.7405317513919625E7,0,0,0,0,0,0,0,0,0,
rideHail,0,0,0,0,0,0,3027784.516721927,1.7360337745811324E9,6.589235513967757E9,2.7478177513389425E9,1.4625028495657558E9,1.6678747466481986E9,2.3924887995787625E9,1.4990430065593042E9,1.6743923082597528E9,1.9692988668446033E9,3.2459079807484794E9,8.570755676669591E9,1.0550843096599905E10,3.7198612850580535E9,1.775017735071673E9,9.878724182658263E7,0,0,0,0,0,0,
walk,0,0,0,0,0,0,317300.0649682451,7.261478025056449E8,1.848303929760997E10,4.156254251253459E10,1.805878212157867E10,1.0839891504362572E10,7.736914703918523E9,1.1951696160465088E10,1.2237940348398584E10,9.783337224989115E9,1.288526894176538E10,2.1491547342642174E10,4.856865039893037E10,1.445159641280821E10,1.1714482526390127E10,1.0881265557198958E9,1.2347268726866312E7,0.0,0,0.0,0,0,
