Bin,AverageLinkSpeed
0,100.0
1,100.0
2,100.0
3,100.0
4,100.0
5,100.0
6,100.00000000000003
7,99.99653337158782
8,99.1400388561574
9,99.12160169686655
10,99.46212746297158
11,99.30262518945881
12,99.31400911126123
13,99.3696125468544
14,99.29023149322835
15,99.28209499154062
16,98.99270768727057
17,98.65163985354272
18,97.37104122903487
19,97.64536585666893
20,97.59707478476771
21,97.53305469270464
22,97.71054099179628
23,98.20405074033054
24,98.38434584089119
25,98.29201252324341
26,98.61916172783815
27,98.85593619230966
28,99.1313728245122
29,99.34658425089393
30,100.0
