hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,4.0,0,6.0
8,1.6666666666666665,644.0,154.0,681.5
9,7.999999999999998,847.3333333333334,1778.3333333333333,2708.0
10,0,144.0,890.0000000000001,972.1666666666669
11,0.8333333333333333,292.0,578.0,526.5
12,0.5,246.0,441.8333333333333,611.3333333333333
13,1.0,342.0,306.5,563.5
14,0.5,241.0,471.5,618.5
15,0,280.0,520.0,666.5
16,0,367.0,676.0,480.5
17,2.833333333333333,470.0,1017.0,646.0
18,0,1672.3333333333333,4322.333333333334,1311.3333333333335
19,0.8333333333333333,449.0,1020.1666666666667,704.1666666666666
20,0,296.5,645.0,255.0
21,0,29.0,36.5,44.5
22,0,4.0,1.0,3.0
23,0,0,1.0,0
