Revenue,Hour
0.0,0
0.0,1
0.0,2
0.0,3
0.0,4
0.0,5
61.3,6
5660.2,7
11536.29,8
1826.6,9
2713.21,10
3288.27,11
4388.39,12
2691.95,13
3206.83,14
4983.23,15
6084.4,16
23521.61,17
8036.91,18
3448.23,19
1542.34,20
62.86,21
0.0,22
0.0,23
0.0,24
0.0,25
0.0,26
0.0,27
0.0,28
0.0,29
0.0,30

