hour,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1245
8,10942
9,4018
10,994
11,1136
12,1056
13,1371
14,1511
15,702
16,1390
17,2629
18,2292
19,242
20,89
21,0
22,0
