hours,0,1-3,4-6,7-9,10-12
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,17.0,0.0,0.0,0.0,0.0
7,1379.0,7.0,0.0,0.0,0.0
8,1372.0,362.0,187.0,1.0,0.0
9,247.0,454.0,1206.0,41.0,0.0
10,496.0,500.0,917.0,22.0,0.0
11,467.0,542.0,644.0,11.0,0.0
12,235.0,453.0,713.0,18.0,0.0
13,227.0,459.0,721.0,12.0,0.0
14,285.0,429.0,689.0,16.0,0.0
15,234.0,465.0,693.0,27.0,0.0
16,301.0,520.0,578.0,20.0,0.0
17,266.0,450.0,692.0,11.0,0.0
18,206.0,481.0,976.0,27.0,0.0
19,343.0,534.0,1037.0,21.0,0.0
20,794.0,756.0,368.0,0.0,0.0
21,1017.0,418.0,186.0,0.0,0.0
22,1273.0,83.0,20.0,0.0,0.0
23,304.0,0.0,0.0,0.0,0.0
