hours,repositioning,0,1,2,3,4,5,6
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,460.0,265.0,0.0,0.0,0.0,0.0,0.0
9,0.0,986.0,972.0,0.0,0.0,0.0,0.0,0.0
10,0.0,188.0,362.0,0.0,0.0,0.0,0.0,0.0
11,0.0,230.0,226.0,0.0,0.0,0.0,0.0,0.0
12,0.0,295.0,258.0,0.0,0.0,0.0,0.0,0.0
13,0.0,333.0,345.0,0.0,0.0,0.0,0.0,0.0
14,0.0,244.0,258.0,0.0,0.0,0.0,0.0,0.0
15,0.0,279.0,309.0,0.0,0.0,0.0,0.0,0.0
16,0.0,350.0,233.0,0.0,0.0,0.0,0.0,0.0
17,0.0,410.0,406.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1403.0,1021.0,0.0,0.0,0.0,0.0,0.0
19,0.0,769.0,1091.0,0.0,0.0,0.0,0.0,0.0
20,0.0,254.0,389.0,0.0,0.0,0.0,0.0,0.0
21,0.0,103.0,165.0,0.0,0.0,0.0,0.0,0.0
22,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0
