iterations,bike,car,drive_transit,ride_hail,ride_hail_pooled,ride_hail_transit,walk,walk_transit
benchmark,0.0,79.99999999999999,2.9999999999999996,6.599999999999999,0.0,1.9999999999999996,3.999999999999999,4.399999999999999
0,0,0,0.09138279670244205,22.41267248850076,0,0,41.596949092282735,35.89899562251406
1,0,0,0.054996333577761486,21.353020909717127,0,0,42.58105015221208,36.010932604493036
2,0,0,0.05194098171233029,21.373852854254157,0,0,42.60465968935405,35.96954647467947
3,0,0,0.0538852965357865,21.092482723374,0,0,42.86103148678976,35.99260049330044
4,0,0,0.05638512988023021,20.222262960247093,0,0,43.591260582627825,36.130091327244855
5,0,0,0.05444081505677399,20.04810790391752,0,0,43.75374975001666,36.14370153100905
6,0,0,0.049996666888874074,19.872564051285472,0,0,43.91151700997712,36.165922271848544
7,0,0,0.05360753727529276,19.337321956314025,0,0,44.40620625291646,36.20286425349422
8,0,0,0.047496833544430364,19.247327955914052,0,0,44.39676243805968,36.30841277248184
9,0,0,0.048607870586405345,19.075117214407932,0,0,44.635079883563314,36.24119503144235
10,0,0,0.05166322245183654,19.160944825900497,0,0,44.401484345488086,36.3859076061596
