iteration,vehicleType,vehicleMilesTraveled,vehicleHoursTraveled,numberOfVehicles
4,siouxareametro-sd-us:1343,0.0,0.0,2.0
4,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
4,CAR-TYPE-DEFAULT,10609.376440014403,1153.2511111111112,999.0
4,BUS-STD-HD,687.9348203846629,50.13333333333333,64.0
4,siouxareametro-sd-us:1350,0.0,0.0,2.0
4,BUS-SMALL-HD,523.479241031272,24.533333333333335,64.0
4,siouxareametro-sd-us:1348,0.0,0.0,2.0
4,siouxareametro-sd-us:1344,0.0,0.0,2.0
5,siouxareametro-sd-us:1351,0.0,0.0,1.0
5,siouxareametro-sd-us:1341,0.0,0.0,12.0
5,siouxareametro-sd-us:1345,0.0,0.0,2.0
5,siouxareametro-sd-us:1340,0.0,0.0,4.0
5,siouxareametro-sd-us:1347,0.0,0.0,3.0
5,BODY-TYPE-DEFAULT,0.0,16396.839722222223,15001.0
5,BUS-DEFAULT,6121.512691032592,362.6,596.0
5,siouxareametro-sd-us:1346,0.0,0.0,4.0
5,siouxareametro-sd-us:1342,0.0,0.0,4.0
5,PHEV,3448.540658106798,316.05333333333334,354.0
5,BEV,5135.913489498199,466.4377777777778,543.0
5,siouxareametro-sd-us:1349,0.0,0.0,4.0
5,siouxareametro-sd-us:1343,0.0,0.0,2.0
5,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
5,CAR-TYPE-DEFAULT,9422.106390062223,853.0172222222222,962.0
5,BUS-STD-HD,687.9348203846629,50.13333333333333,64.0
5,siouxareametro-sd-us:1350,0.0,0.0,2.0
5,BUS-SMALL-HD,523.479241031272,24.533333333333335,64.0
5,siouxareametro-sd-us:1348,0.0,0.0,2.0
5,siouxareametro-sd-us:1344,0.0,0.0,2.0
6,siouxareametro-sd-us:1351,0.0,0.0,1.0
6,siouxareametro-sd-us:1341,0.0,0.0,12.0
6,siouxareametro-sd-us:1345,0.0,0.0,2.0
6,siouxareametro-sd-us:1340,0.0,0.0,4.0
6,siouxareametro-sd-us:1347,0.0,0.0,3.0
6,BODY-TYPE-DEFAULT,0.0,16416.968055555557,15001.0
6,BUS-DEFAULT,6121.512691032592,362.6,596.0
6,siouxareametro-sd-us:1346,0.0,0.0,4.0
6,siouxareametro-sd-us:1342,0.0,0.0,4.0
6,PHEV,3417.209471622894,323.37333333333333,352.0
6,BEV,5255.118071568102,493.45694444444445,539.0
6,siouxareametro-sd-us:1349,0.0,0.0,4.0
6,siouxareametro-sd-us:1343,0.0,0.0,2.0
6,BUS-STD-ART,201.58766794177313,11.966666666666667,14.0
6,CAR-TYPE-DEFAULT,9577.250508351799,912.3686111111111,953.0
6,BUS-STD-HD,687.9348203846629,50.13333333333333,64.0
6,siouxareametro-sd-us:1350,0.0,0.0,2.0
6,BUS-SMALL-HD,523.479241031272,24.533333333333335,64.0
6,siouxareametro-sd-us:1348,0.0,0.0,2.0
6,siouxareametro-sd-us:1344,0.0,0.0,2.0
7,siouxareametro-sd-us:1351,0.0,0.0,1.0
7,siouxareametro-sd-us:1341,0.0,0.0,12.0
7,siouxareametro-sd-us:1345,0.0,0.0,2.0
7,siouxareametro-sd-us:1340,0.0,0.0,4.0
7,siouxareametro-sd-us:1347,0.0,0.0,3.0
7,BODY-TYPE-DEFAULT,0.0,16615.5025,15001.0
7,BUS-DEFAULT,6121.512691032592,362.6,596.0
7,siouxareametro-sd-us:1346,0.0,0.0,4.0
7,siouxareametro-sd-us:1342,0.0,0.0,4.0
7,PHEV,3400.579715654148,339.7925,360.0
7,BEV,5106.44529004433,499.83472222222224,541.0
