iterations,drive_transit,ride_hail,walk,walk_transit
0,83,6778,16947,35721
1,41,6470,17262,35908
2,40,6428,17241,35845
3,39,6349,17334,35897
4,41,6086,17579,36080
5,37,6029,17616,36061
6,34,5972,17667,36109
7,37,5819,17832,36182
8,34,5790,17831,36245
9,36,5736,17906,36252
10,35,5760,17827,36207
