iteration #,revenue
0,76117.41211596296
1,85818.8851986674
2,82264.26106834017
3,83052.61975608562
4,87741.24470889624
5,72921.46059849094
6,75441.59164920522
7,76626.09957010833
8,73890.30125729056
9,68471.37462686648
10,70721.97237013273
